Target TBox logical axioms,Size of T,Hypothesis TBox logical axioms,Size of H,Number of concept names,Number of role names,Size of largest  concept in T,Size of largest  concept in H,Size of largest counterexample, Total membership queries, Total equivalent queries
4,24,18,134,7,3,5,43,5,370,12
4,24,18,118,7,3,5,43,5,382,12
4,24,20,112,7,3,5,42,5,360,14
4,24,20,102,7,3,5,21,5,360,14
4,24,18,134,7,3,5,43,5,370,12
4,24,18,118,7,3,5,43,5,382,12
4,24,20,112,7,3,5,42,5,360,14
4,24,20,102,7,3,5,21,5,360,14
4,24,18,134,7,3,5,43,5,370,12
4,24,18,134,7,3,5,43,5,370,12
4,24,18,118,7,3,5,43,5,382,12
4,24,20,112,7,3,5,42,5,360,14
4,24,20,102,7,3,5,21,5,360,14
